Date,Grade,Caliper,Width,Tons,Plant
03-Mar-15,CRB,.016,25.750,0.695708672,Hamel
20-Feb-15,CRB,.016,25.750,0.687935391,Hamel
16-Mar-15,CRB,.016,25.750,0.711255234,Hamel
16-Mar-15,CRB,.016,25.750,0.703481953,Hamel
16-Mar-15,CRB,.016,25.750,0.693765352,Hamel
05-Jan-15,CRB,.016,25.750,0.680162109,Hamel
05-Jan-15,CRB,.016,25.750,0.676275469,Hamel
05-Jan-15,CRB,.016,25.750,0.689878711,Hamel
05-Jan-15,CRB,.016,25.750,0.503319961,Hamel
05-Jan-15,CRB,.016,25.750,0.691822031,Hamel
26-May-15,CRB,.016,25.750,0.693765352,Hamel
19-Jun-15,CRB,.016,25.750,0.711255234,Hamel
18-Jun-15,CRB,.016,25.750,0.692793691,Hamel
18-Jun-15,CRB,.016,25.750,0.68404875,Hamel
18-Jun-15,CRB,.016,25.750,0.703481953,Hamel
29-Apr-15,CRB,.016,25.750,0.68404875,Hamel
26-May-15,CRB,.016,25.750,0.680162109,Hamel
19-Jun-15,CRB,.016,25.750,0.707368594,Hamel
29-Apr-15,CRB,.016,25.750,0.701538633,Hamel
26-May-15,CRB,.016,25.750,0.641295703,Hamel
18-Jun-15,CRB,.016,25.750,0.703481953,Hamel
18-Jun-15,CRB,.016,25.750,0.707368594,Hamel
19-Jun-15,CRB,.016,25.750,0.695708672,Hamel
26-May-15,CRB,.016,25.750,0.691822031,Hamel
18-Jun-15,CRB,.016,25.750,0.642267363,Hamel
24-Aug-15,CRB,.016,25.750,0.652955625,Hamel
18-Jun-15,CRB,.016,25.750,0.707368594,Hamel
19-Jun-15,CRB,.016,25.750,0.699595313,Hamel
18-Jun-15,CRB,.016,25.750,0.670445508,Hamel
19-Jun-15,CRB,.016,25.750,0.711255234,Hamel
24-Aug-15,CRB,.016,25.750,0.227368477,Hamel
18-Jul-15,CRB,.016,25.750,0.641295703,Hamel
18-Jul-15,CRB,.016,25.750,0.637409063,Hamel
26-May-15,CRB,.016,25.750,0.693765352,Hamel
18-Jul-15,CRB,.016,25.750,0.641295703,Hamel
18-Jul-15,CRB,.016,25.750,0.639352383,Hamel
18-Jul-15,CRB,.016,25.750,0.656842266,Hamel
20-Jul-15,CRB,.016,25.750,0.637409063,Hamel
20-Jul-15,CRB,.016,25.750,0.635465742,Hamel
19-Jun-15,CRB,.016,25.750,0.699595313,Hamel
21-Sep-15,CRB,.016,25.750,0.448906992,Hamel
29-Sep-15,CRB,.016,25.750,0.651012305,Hamel
20-Jul-15,CRB,.016,25.750,0.637409063,Hamel
18-Jul-15,CRB,.016,25.750,0.639352383,Hamel
18-Jul-15,CRB,.016,25.750,0.635465742,Hamel
29-Sep-15,CRB,.016,25.750,0.647125664,Hamel
29-Sep-15,CRB,.016,25.750,0.651012305,Hamel
