Date,Grade,Caliper,Width,Tons,Plant,Mill
8/6/2015,KB WSSZ,19-0,39.375,161.6925,"GPI-OROVILLE,CA",Santa Clara
8/6/2015,NB,16-0,25.25,20.5715,"GPI-MITCHELL,SD",Battle Creek
8/6/2015,NB,18-0,30,1.698,"GPI-GORDONSVILLE,TN",Kalamazoo
8/6/2015,NB,18-0,30,110.257,"GPI-KALAMAZOO,MI",Kalamazoo
8/6/2015,NB,18-0,30.5,171.9015,"GPI-KALAMAZOO,MI",Kalamazoo
8/6/2015,NB,18-0,35.25,96.655,"GPI-KALAMAZOO,MI",Kalamazoo
8/6/2015,NB,18-0,35.5,6.577,"GPI-ELK GROVE VILLAGE,IL",Battle Creek
8/6/2015,NB,18-0,37.0625,19.407,"GPI-CAROL STREAM,IL",Kalamazoo
8/6/2015,NB,18-0,37.25,13.2195,"GPI-FORT SMITH,AR",Kalamazoo
8/6/2015,NB,18-0,39.625,199.399,"GPI-CENTRALIA,IL",Kalamazoo
8/6/2015,NB,18-0,40.9375,64.398,"GPI-KALAMAZOO,MI",Kalamazoo
8/6/2015,NB,18-0,41.75,29.6885,"GPI-ELK GROVE VILLAGE,IL",Kalamazoo
8/6/2015,NB,18-0,42.25,95.73,"GPI-KALAMAZOO,MI",Kalamazoo
8/6/2015,NB,18-0,42.6875,27.919,"GPI-CAROL STREAM,IL",Kalamazoo
8/6/2015,NB,18-0,42.6875,2.0975,"GPI-CHARLOTTE,NC",Kalamazoo
8/6/2015,NB,18-0,46.875,61.188,"GPI-STONE MOUNTAIN,GA",Kalamazoo
8/6/2015,NB,18-0,58.25,57.378,"GPI-CAROL STREAM,IL",Kalamazoo
8/6/2015,NB,18-0,59.75,9.936,"GPI-PACIFIC,MO",Kalamazoo
8/6/2015,NB,20-0,27.5,3.0145,"GPI-OAKS,PA",Kalamazoo
8/6/2015,NB,20-0,29.5,85.0625,"GPI-KENDALLVILLE,IN",Middletown
8/6/2015,NB,20-0,33.4375,18.8775,"GPI-STONE MOUNTAIN,GA",Middletown
8/6/2015,NB,20-0,36.25,17.245,"GPI-ELK GROVE VILLAGE,IL",Battle Creek
8/6/2015,NB,20-0,39,65.9505,"GPI-PACIFIC,MO",Middletown
8/6/2015,NB,20-0,40.3125,91.561,"GPI-PACIFIC,MO",Middletown
8/6/2015,NB,20-0,42.9375,31.358,"GPI-PACIFIC,MO",Middletown
8/6/2015,NB,20-0,43,77.657,"GPI-PACIFIC,MO",Middletown
8/6/2015,NB,20-0,46.75,11.113,"GPI-TUSCALOOSA,AL",Battle Creek
8/6/2015,NB,20-0,49.375,24.782,"GPI-LUMBERTON,NC",Middletown
8/6/2015,NB,20-0,59.125,26.103,"GPI-PACIFIC,MO",Middletown
8/6/2015,NB,23-0,38.625,100.7555,"GPI-ELK GROVE VILLAGE,IL",Battle Creek
8/6/2015,NB,24-0,34.375,17.2455,"GPI-KALAMAZOO,MI",Kalamazoo
8/6/2015,NB,26-1,36.125,3.968,"GPI-MISSISSAUGA,ON",Kalamazoo
8/6/2015,NB,26-1,63.25,6.947,"GPI-PACIFIC,MO",Kalamazoo
8/6/2015,NB,28-1,36.125,14.437,"GPI-MENASHA,WI",Kalamazoo
8/6/2015,NB,28-1,36.125,36.704,"GPI-MISSISSAUGA,ON",Kalamazoo
